Name;CC;GDPpc;Gini;WHR;annotation
Afganistan;AFG; 2.087,6 ;;2,52;
Albania;ALB; 13.817,8 ;33,2;5,12;
Algeria;DZA; 11.268,3 ;27,6;4,89;
Angola;AGO; 6.538,5 ;51,3;;
Argentina;ARG; 20.767,6 ;42,9;5,93;1
Armenia;ARM; 13.284,2 ;29,9;5,28;
Australia;AUS; 52.518,3 ;34,4;7,18;
Austria;AUT; 55.097,5 ;30,8;7,27;
Azerbaijan;AZE; 14.452,0 ;26,6;5,17;
Bangladesh;BGD; 5.082,7 ;32,4;5,03;
Belarus;BLR; 20.199,7 ;25,3;5,53;
Belgium;BEL; 51.968,2 ;27,2;6,83;
Belize;BLZ; 6.456,0 ;53,3;;
Benin;BEN; 3.505,6 ;47,8;5,05;
Bhutan;BTN; 11.508,2 ;37,4;;
Bolivia;BOL; 8.367,3 ;41,6;5,72;
Bosnia and Herzegovina;BIH; 15.611,8 ;33;5,81;
Botswana;BWA; 16.920,8 ;53,3;3,47;1
Brazil;BRA; 14.836,3 ;53,4;6,33;
Bulgaria;BGR; 24.367,3 ;41,3;5,27;
Burkina Faso;BFA; 2.279,2 ;35,3;4,83;
Burundi;BDI; 771,2 ;38,6;3,78;
Cabo Verde;CPV; 6.377,0 ;42,4;;
Cameroon;CMR; 3.772,7 ;46,6;5,14;
Canada;CAN; 48.072,6 ;33,3;7,1;
Central African Republic;CAF; 979,6 ;56,2;3,48;
Chad;TCD; 1.603,4 ;43,3;4,36;
Chile;CHL; 25.067,7 ;44,4;6,17;
China;CHN; 17.312,0 ;38,5;5,34;
Colombia;COL; 14.565,4 ;51,3;6,01;
Comoros;COM; 3.313,2 ;45,3;4,26;
Congo, Dem. Rep.;COD; 1.131,1 ;42,1;5,34;
Congo, Rep.;COG; 3.638,6 ;48,9;5,19;
Costa Rica;CRI; 21.031,8 ;48,2;7,07;1
Cote d'Ivoire;CIV; 5.458,2 ;41,5;5,31;
Croatia;HRV; 28.503,9 ;29,7;5,88;
Cyprus;CYP; 38.458,2 ;32,7;5,88;
Czech Republic;CZE; 41.737,4 ;25;6,97;
Denmark;DNK; 60.398,5 ;28,2;7,62;
Djibouti;DJI; 5.782,1 ;41,6;;
Dominican Republic;DOM; 17.936,7 ;41,9;5,55;
Ecuador;ECU; 10.896,4 ;45,7;5,76;
Egypt, Arab Rep.;EGY; 12.607,8 ;31,5;4,28;
El Salvador;SLV; 8.499,0 ;38,8;;
Estonia;EST; 38.394,9 ;30,3;6,19;
Eswatini;SWZ; 8.853,6 ;54,6;;
Ethiopia;ETH; 2.423,0 ;35;4,28;
Fiji;FJI; 11.601,4 ;36,7;;
Finlandia;FIN; 51.089,8 ;27,3;7,84;1
France;FRA; 46.227,0 ;32,4;6,69;
Gabon;GAB; 15.190,6 ;38;4,85;
Gambia, The;GMB; 2.278,0 ;35,9;5,05;
Georgia;GEO; 14.863,0 ;35,9;4,89;
Germany;DEU; 53.694,4 ;31,9;7,16;
Ghana;GHA; 5.596,3 ;43,5;5,09;
Greece;GRC; 28.463,8 ;32,9;5,72;
Guatemala;GTM; 8.854,2 ;48,3;6,44;
Guinea;GIN; 2.817,5 ;33,7;4,98;
Guinea-Bissau;GNB; 1.948,9 ;50,7;;
Guyana;GUY; 19.705,8 ;45,1;;
Haiti;HTI; 2.925,4 ;41,1;3,62;
Honduras;HND; 5.420,6 ;48,2;5,92;
Hungary;HUN; 33.084,1 ;29,6;5,99;
Iceland;ISL; 55.216,0 ;26,1;7,55;
India;IND; 6.454,3 ;35,7;3,82;
Indonesia;IDN; 12.073,5 ;38,2;5,35;
Iran, Islamic Rep.;IRN; 13.116,1 ;42;4,72;
Iraq;IRQ; 9.763,5 ;29,5;4,85;
Ireland;IRL; 93.612,2 ;31,4;7,09;
Israel;ISR; 41.854,9 ;39;7,16;
Italy;ITA; 41.840,0 ;35,9;6,48;
Jamaica;JAM; 9.221,6 ;45,5;6,31;
Japan;JPN; 42.197,3 ;32,9;5,94;
Jordan;JOR; 10.355,6 ;33,7;4,4;
Kazakhstan;KAZ; 26.728,5 ;27,8;6,15;
Kenya;KEN; 4.452,2 ;40,8;4,61;
Kiribati;KIR; 2.417,8 ;37;;
Korea, Rep.;KOR; 43.124,3 ;31,4;5,85;
Kosovo;XKX; 11.367,9 ;29;;
Kyrgyz Republic;KGZ; 4.965,0 ;29,7;5,74;
Lao PDR;LAO; 8.234,5 ;38,8;5,03;
Latvia;LVA; 32.019,2 ;35,1;6,03;
Lebanon;LBN; 12.288,8 ;31,8;4,58;
Lesotho;LSO; 2.405,1 ;44,9;3,51;
Liberia;LBR; 1.428,2 ;35,3;4,63;
Lithuania;LTU; 38.734,7 ;35,7;6,26;
Luxemburgo;LUX; 118.359,5 ;35,4;7,32;1
Madagascar;MDG; 1.593,1 ;42,6;4,21;
Malawi;MWI; 1.568,4 ;44,7;3,6;1
Malaysia;MYS; 27.886,9 ;41,1;5,38;
Maldives;MDV; 13.765,6 ;31,3;5,2;
Mali;MLI; 2.338,5 ;33;4,72;
Malta;MLT; 42.640,1 ;28,7;6,6;
Mauritania;MRT; 5.256,9 ;32,6;4,23;
Mauritius;MUS; 20.538,7 ;36,8;6,05;
Mexico;MEX; 18.833,1 ;45,4;6,32;
Micronesia, Fed. Sts.;FSM; 3.613,0 ;40,1;;
Moldova;MDA; 13.001,6 ;25,7;;
Mongolia;MNG; 12.100,6 ;32,7;5,68;
Montenegro;MNE; 20.566,6 ;38,5;5,58;
Morocco;MAR; 7.296,2 ;39,5;4,92;
Mozambique;MOZ; 1.296,6 ;54;4,79;
Myanmar;MMR; 4.793,6 ;30,7;4,43;
Namibia;NAM; 9.382,2 ;59,1;4,57;
Nauru;NRU; 14.099,5 ;34,8;;
Nepal;NPL; 4.008,7 ;32,8;5,27;
Netherlands;NLD; 59.228,8 ;28,1;7,46;
Nicaragua;NIC; 5.570,1 ;46,2;5,97;
Niger;NER; 1.262,6 ;34,3;5,07;1
Nigeria;NGA; 5.186,7 ;35,1;4,76;
North Macedonia;MKD; 16.926,6 ;33;;
Noruega;NOR; 63.198,0 ;27,6;7,39;1
Pakistan;PAK; 4.876,6 ;31,6;4,93;
Panama;PAN; 26.775,7 ;49,8;6,18;
Papua New Guinea;PNG; 4.326,4 ;41,9;;
Paraguay;PRY; 13.012,9 ;45,7;5,65;
Peru;PER; 11.879,2 ;41,5;5,84;
Philippines;PHL; 8.390,4 ;42,3;5,88;
Poland;POL; 34.264,8 ;30,2;6,17;
Portugal;PRT; 34.495,9 ;33,5;5,93;
Romania;ROU; 31.945,7 ;35,8;6,14;
Russian Federation;RUS; 28.213,4 ;37,5;5,48;
Rwanda;RWA; 2.214,0 ;43,7;3,42;
Samoa;WSM; 6.777,8 ;38,7;;
Sao Tome and Principe;STP; 4.274,1 ;56,3;;
Senegal;SEN; 3.481,3 ;40,3;5,13;
Serbia;SRB; 19.230,6 ;36,2;6,08;
Seychelles;SYC; 25.699,7 ;32,1;;
Sierra Leone;SLE; 1.738,6 ;35,7;3,85;
Slovak Republic;SVK; 31.832,4 ;25;6,33;
Slovenia;SVN; 39.593,3 ;24,6;6,46;
Solomon Islands;SLB; 2.619,2 ;37,1;;
South Africa;ZAF; 12.095,9 ;63;4,96;
South Sudan;SSD; 1.234,7 ;44,1;;
Spain;ESP; 38.334,6 ;34,7;6,49;
Sri Lanka;LKA; 13.225,4 ;39,3;4,33;
St. Lucia;LCA; 12.943,8 ;51,2;;
